Name of Institution,Type,Acronym,Ownership,Url,Year
"Adeyemi College of Education, Ondo",College,ACEONDO ,Federal,,
"Federal College of Education, Pankshin",College,FCEPANKSHIN,Federal,,
"Federal College of Education, Yola",College,FCEYOLA,Federal,www.fceyolanigeria.org,
"Federal College of Education, Zaria10.",College,FCEZARIA,Federal,,
"Nigerian Army School of Education (NASE), Ilorin",College,NASE,Federal,,
"Federal College of Education (T), Umunze",College,FCEUMUNZU,Federal,www.fcetumunze.edu.ng,
"College of Education, Gindiri",College,COEGINDIRI,State,,
"Adamawa State College of Education, Hong",College,ADSCOEH,State,,
"Tai Solarin College of Education, Ijebu-Ode",College,TASUED,State,www.tasce.edu.ng,
"College of Education, Ikere-Ekiti",College,COEIKERE,State,www.coeikere.edu.ng,
"Ebonyi State College of Education, Ikwo",College,EBSCOED,State,,
"College of Education, Warri",College,COEWARRI,State,www.coewarri.edu.ng,
"FCT College of Education, Zuba",College,FCTCOEZUBA,State,,
"Osisatech College of Education, Enugu",College,OSISATECH,State,,
"Nasarrawa State College of Education, Akwanga",College,COEAKWANGA,State,,
"Isa Kaita College of Education, Dutsin-Ma",College,IKCOED,State,,
"College of Education, Ekiadolor-Benin",College,COEEKI,State,,
"College of Education, Gashua, Damaturu",College,USCOEGA,State,,
"Kaduna State College of Education, Gidan-Waya, Kafanchan",College,COEKC,State,,
"Osun State College of Education, Ilesa",College,COEILESA,State,,
"Kwara State College of Education, Ilorin",College,KWCOEILORIN,State,,
"College of Education, katsina-Ala",College,COEKATSINA,State,,
"Sa'adatu Rimi College of Education, Kumbotso, Kano",College,SRCOE,State,,
"College of Education (Technical), Lafiagi",College,COEDLFG,State,,
"Nwafor Orizu College of Education, Nsugbe",College,NOCEN,State,,
"Adeniran Ogunsanya College of Education, Otto/Ijanikin",College,AOCOED,State,www.aocoed.edu.ng,
"Emmanuel Alayande College of Education (EACOED), Oyo",College,EACOED,State,www.eacoed.com,
"College of Education, Waka BIU",College,COEWAKABIU,State,,
"St. Augustine College of Education (Project Time), Lagos",College,SACOED,State,,
"Delta State College of Education, Agbor",College,DELSU,State,,
"Akwa Ibom State College of Education, Afahansit",College,AKSCOE,State,,
"Kogi State College of Education, Ankpa",College,COEANKPA,State,,
"Adamu Augie College of Education, Argungu",College,ADACOED,State,,
"College of Education, Azare",College,COEAZARE,State,,
"Umar Ibn Ibrahim El-Kanemi College of Education, Science and Technology, Bama",College,COEBAMA,State,,
"College of Education, Jalingo",College,COEJALINGO,State,,
"Zamfara State College of Education, Maru",College,COEMARU,State,,
"Jigawa State College of Education, Gumel",College,JIGCOED,State,,
"Niger State College of Education, Minna",College,COEMINNA,State,,
"Rivers College of Education, Rumuolumeni",College,IAUOE,State,,
"Shehu shagari College of Education, Sokoto",College,SSCOESOK,State,,
"Jama'Atu College of Education (JACE), Kaduna",College,JACE,State,,
"College of Education, Arochukwu, Abia",College,ASCOED,State,,
"College of Education, Ila-Orangun, Osun State",College,OSSCEILA,State,,
"Michael Otedola Coll. of Prim. Education, Lagos",College,MOCPED,State,,
"Kashim Ibrahim College of Educ., Maiduguri",College,KICOEM,State,,
"Delta State Coll. of Physical Education, Mosogar",College,MOSOGAR,State,,
"Enugu State Coll. of Education (T), Enugu",College,ESCET,State,,
"Cross River State Coll. of Education, Akampa",College,CRSCOED,State,,
"Edo State College of Education, Igueben",College,COEIGUEBEN,State,,
"Isaac Jasper Boro COE, Sagbama",College,IJBCOE,State,,
"Kogi State College of Education, Kabba",College,KGSCOEKABBA,State,,
"Institute of Ecumenical Education, (Thinkers Corner), Enugu",College,IECEEunugu,Private,,
Delar College of Education,College,DELARCOED,Private,,
"City College of Education, Mararaba, Gurku",College,COEMARARABA,Private,,
"Ansar-Ud-Deen College of Education, Isolo",College,ADCOED,Private,,
"Yewa Central College of Education, Ayetoro",College,YEWACOED,Private,,
"OSISA Tech. Coll. of Education, Enugu",College,OSISATECH,Private,,
"St. Augustine Coll. of Education, Lagos",College,SACOED,Private,,
"African Thinkers Community of Inquiry, Enugu",College,ATCOICOED,Private,,
"Muftau Olanihun College of Education, Ibadan",College,SEAIJA,Private,,
"Havard Wilson College of Education, Aba",College,HWCOED,Private,,
"Muhyideen College of Education, Ilorin",College,MCOED,Private,,
"College of Education, Offa",College,COEILEMONA,Private,,
"Bauchi Institute of Arabic & Islamic Studies, Bauchi",College,BIAIS,Private,,
"Corner Stone College of Education, lagos",College,CORNERSTONE,Private,,
"Peaceland College of Education, Enugu",College,PCE,Private,"www.peaceland.edu,ng",
"The College of Education, Nsukka",College,TCEN,Private,,
"Unity College of Education, Auka Adoka, Benue",College,EEDU,Private,,
"DIAMOND COLLEGE OF EDUCATION, ABA",College,DCOE,Private,www.dce.edu.ng,
"Kinsey College of Education, Ilorin, Kwara State",College,KINSEYCOED,Private,www.kinseycollege.edu.ng,
"ECWA College of Education, Jos (ECOEJ)",College,ECOEJ,Private,www.jets.edu.ng,
